Birth Year,Year,Month,Number of Trips
1988,2014,07,30768
1977,2014,07,24402
1907,2014,07,4
1924,2014,07,2
1966,2014,07,14054
1983,2014,07,38660
1900,2014,07,208
1983,2014,08,38409
1966,2014,08,13295
1934,2014,08,61
1901,2014,08,66
1977,2014,08,24155
1933,2014,08,56
1976,2014,08,22307
1932,2014,08,28
1954,2014,08,6294
1961,2014,08,10398
1990,2014,08,26066
1964,2014,08,13358
1979,2014,08,26544
1936,2014,08,84
1957,2014,08,7681
1946,2014,08,1075
1941,2014,08,605
1944,2014,08,751
1978,2014,08,26059
1953,2014,08,5642
1960,2014,08,11037
1899,2014,08,58
1959,2014,08,9946
1952,2014,08,3812
1997,2014,08,1249
1985,2014,08,36362
1939,2014,08,155
1963,2014,08,13948
1951,2014,08,3887
1993,2014,08,5873
1981,2014,08,32930
1956,2014,08,7473
1940,2014,08,320
1967,2014,08,14197
1937,2014,08,49
1910,2014,08,16
1975,2014,08,20569
1935,2014,08,95
1962,2014,08,12271
1974,2014,08,19694
1986,2014,08,36618
1995,2014,08,2454
1924,2014,08,3
1984,2014,08,36969
1926,2014,08,16
1980,2014,08,30550
1945,2014,08,829
1987,2014,08,32978
1949,2014,08,2257
1943,2014,08,384
1992,2014,08,8605
1958,2014,08,8873
1968,2014,08,15291
1931,2014,08,9
1950,2014,08,2799
1965,2014,08,13749
\N,2014,08,135932
1973,2014,08,17980
1942,2014,08,742
1972,2014,08,18087
1907,2014,08,14
1921,2014,08,4
1982,2014,08,34281
1996,2014,08,1440
1971,2014,08,17073
1988,2014,08,31503
1955,2014,08,6016
1917,2014,08,16
1969,2014,08,17937
1994,2014,08,3570
1970,2014,08,19091
1991,2014,08,15984
1989,2014,08,29682
1948,2014,08,2184
1947,2014,08,1751
1930,2014,08,6
1998,2014,08,494
1900,2014,08,225
1938,2014,08,218
1960,2014,09,12571
1998,2014,09,693
1941,2014,09,718
1946,2014,09,1263
1987,2014,09,32700
1942,2014,09,878
1980,2014,09,28766
1964,2014,09,14650
1990,2014,09,27780
1961,2014,09,11545
1950,2014,09,2730
1995,2014,09,4518
1976,2014,09,21976
1977,2014,09,23709
1936,2014,09,46
1986,2014,09,35813
